id,file,content_class,style_class,content_label,style_label,content_eval_pos,style_eval_pos,content_test_idx,style_test_idx,pixel_std,edge_corr,style_gain,accepted
0,cc_0000_airplane_x_cat.png,airplane,cat,0,3,45,153,718,2517,0.2856,0.5071,0.392,True
1,cc_0001_airplane_x_cat.png,airplane,cat,0,3,27,183,434,2948,0.2386,0.6505,0.3173,True
2,cc_0002_airplane_x_cat.png,airplane,cat,0,3,15,159,306,2571,0.2417,0.5933,-0.006,False
3,cc_0003_airplane_x_cat.png,airplane,cat,0,3,23,163,392,2644,0.1623,0.6037,0.1065,True
4,cc_0004_airplane_x_cat.png,airplane,cat,0,3,40,173,629,2804,0.1692,0.6154,0.1474,True
5,cc_0005_airplane_x_cat.png,airplane,cat,0,3,46,151,719,2442,0.1668,0.7263,0.5438,True
6,cc_0006_airplane_x_cat.png,airplane,cat,0,3,18,192,326,3090,0.2686,0.4739,0.4388,True
7,cc_0007_airplane_x_cat.png,airplane,cat,0,3,4,184,100,2956,0.1689,0.5103,0.193,True
8,cc_0008_airplane_x_cat.png,airplane,cat,0,3,49,189,770,3030,0.1473,0.3533,0.369,True
9,cc_0009_airplane_x_cat.png,airplane,cat,0,3,29,198,462,3125,0.1162,0.6497,0.5549,True
10,cc_0010_airplane_x_cat.png,airplane,cat,0,3,22,157,389,2549,0.0798,0.7221,0.365,True
11,cc_0011_airplane_x_cat.png,airplane,cat,0,3,33,191,569,3068,0.1704,0.6508,0.3046,True
12,cc_0012_airplane_x_cat.png,airplane,cat,0,3,48,181,749,2917,0.2593,0.3029,0.0852,True
13,cc_0013_airplane_x_cat.png,airplane,cat,0,3,13,195,285,3104,0.1453,0.5837,0.5015,True
14,cc_0014_airplane_x_cat.png,airplane,cat,0,3,31,156,504,2544,0.2215,0.5373,0.1815,True
15,cc_0015_airplane_x_cat.png,airplane,cat,0,3,26,175,420,2813,0.1707,0.5893,0.57,True
16,cc_0016_airplane_x_cat.png,airplane,cat,0,3,11,196,224,3110,0.1775,0.7719,0.5369,True
17,cc_0017_airplane_x_cat.png,airplane,cat,0,3,17,174,322,2812,0.1638,0.6092,0.3847,True
18,cc_0018_airplane_x_cat.png,airplane,cat,0,3,35,155,602,2531,0.1487,0.5955,0.1778,True
19,cc_0019_airplane_x_cat.png,airplane,cat,0,3,8,166,154,2671,0.2121,0.8006,0.0971,True
20,cc_0020_airplane_x_cat.png,airplane,cat,0,3,0,158,1,2556,0.2702,0.8291,0.1676,True
21,cc_0021_airplane_x_cat.png,airplane,cat,0,3,9,187,156,2991,0.1816,0.577,0.2839,True
22,cc_0022_airplane_x_cat.png,airplane,cat,0,3,30,176,470,2851,0.2897,0.601,0.0626,True
23,cc_0023_airplane_x_cat.png,airplane,cat,0,3,19,188,340,2999,0.2008,0.3855,0.1539,True
24,cc_0024_airplane_x_cat.png,airplane,cat,0,3,47,164,721,2646,0.1863,0.5224,0.4267,True
25,cc_0025_cat_x_airplane.png,cat,airplane,3,0,183,41,2948,634,0.2486,0.7382,0.2907,True
26,cc_0026_cat_x_airplane.png,cat,airplane,3,0,176,49,2851,770,0.1654,0.3414,0.5947,True
27,cc_0027_cat_x_airplane.png,cat,airplane,3,0,184,14,2956,300,0.1799,0.6211,0.0722,True
28,cc_0028_cat_x_airplane.png,cat,airplane,3,0,168,2,2721,49,0.1944,0.4677,-0.1144,False
29,cc_0029_cat_x_airplane.png,cat,airplane,3,0,187,31,2991,504,0.1544,0.4771,-0.046,False
30,cc_0030_cat_x_airplane.png,cat,airplane,3,0,192,46,3090,719,0.1602,0.3438,0.6032,True
31,cc_0031_cat_x_airplane.png,cat,airplane,3,0,186,39,2985,620,0.1976,0.6198,0.2661,True
32,cc_0032_cat_x_airplane.png,cat,airplane,3,0,179,28,2893,441,0.2502,0.4365,0.0613,True
33,cc_0033_cat_x_airplane.png,cat,airplane,3,0,160,37,2574,608,0.171,0.6601,0.3124,True
34,cc_0034_cat_x_airplane.png,cat,airplane,3,0,173,38,2804,610,0.1845,0.509,0.3516,True
35,cc_0035_cat_x_airplane.png,cat,airplane,3,0,164,34,2646,584,0.1915,0.4417,0.1438,True
36,cc_0036_cat_x_airplane.png,cat,airplane,3,0,157,19,2549,340,0.2019,0.7632,0.4121,True
37,cc_0037_cat_x_airplane.png,cat,airplane,3,0,196,10,3110,162,0.2005,0.6726,0.1249,True
38,cc_0038_cat_x_airplane.png,cat,airplane,3,0,152,30,2494,470,0.2864,0.4082,0.0206,True
39,cc_0039_cat_x_airplane.png,cat,airplane,3,0,163,32,2644,548,0.1104,0.7959,0.0281,True
40,cc_0040_cat_x_airplane.png,cat,airplane,3,0,177,47,2854,721,0.1812,0.4804,0.2282,True
41,cc_0041_cat_x_airplane.png,cat,airplane,3,0,188,40,2999,629,0.1752,0.5721,0.0798,True
42,cc_0042_cat_x_airplane.png,cat,airplane,3,0,193,13,3097,285,0.1603,0.7211,0.1191,True
43,cc_0043_cat_x_airplane.png,cat,airplane,3,0,189,17,3030,322,0.2409,0.4816,0.417,True
44,cc_0044_cat_x_airplane.png,cat,airplane,3,0,197,44,3116,708,0.2568,0.6134,0.201,True
45,cc_0045_cat_x_airplane.png,cat,airplane,3,0,198,22,3125,389,0.1377,0.6923,0.3272,True
46,cc_0046_cat_x_airplane.png,cat,airplane,3,0,153,26,2517,420,0.1339,0.7183,0.4375,True
47,cc_0047_cat_x_airplane.png,cat,airplane,3,0,151,0,2442,1,0.136,0.6958,0.2215,True
48,cc_0048_cat_x_airplane.png,cat,airplane,3,0,174,6,2812,106,0.2357,0.3843,0.1084,True
49,cc_0049_cat_x_airplane.png,cat,airplane,3,0,180,21,2901,365,0.2016,0.6651,0.4659,True
50,cc_0050_car_x_dog.png,car,dog,2,5,131,274,2066,4368,0.1649,0.4598,0.1776,True
51,cc_0051_car_x_dog.png,car,dog,2,5,148,258,2385,4129,0.2269,0.7145,0.1151,True
52,cc_0052_car_x_dog.png,car,dog,2,5,149,284,2394,4496,0.2865,0.4209,0.335,True
53,cc_0053_car_x_dog.png,car,dog,2,5,138,298,2135,4757,0.1933,0.525,0.3451,True
54,cc_0054_car_x_dog.png,car,dog,2,5,117,254,1894,4087,0.2845,0.4593,0.2366,True
55,cc_0055_car_x_dog.png,car,dog,2,5,119,267,1930,4299,0.2622,0.4653,0.0962,True
56,cc_0056_car_x_dog.png,car,dog,2,5,145,270,2253,4324,0.2717,0.4625,0.0973,True
57,cc_0057_car_x_dog.png,car,dog,2,5,136,297,2105,4726,0.1243,0.2599,0.3806,False
58,cc_0058_car_x_dog.png,car,dog,2,5,133,260,2088,4214,0.2574,0.6716,0.2277,True
59,cc_0059_car_x_dog.png,car,dog,2,5,129,278,2060,4418,0.2476,0.5881,0.4112,True
60,cc_0060_car_x_dog.png,car,dog,2,5,108,295,1759,4705,0.2108,0.6132,0.1789,True
61,cc_0061_car_x_dog.png,car,dog,2,5,101,273,1703,4351,0.2695,0.4911,0.2559,True
62,cc_0062_car_x_dog.png,car,dog,2,5,128,294,2046,4704,0.228,0.4974,0.1476,True
63,cc_0063_car_x_dog.png,car,dog,2,5,120,251,1938,4037,0.2237,0.3957,0.1968,True
64,cc_0064_car_x_dog.png,car,dog,2,5,137,272,2115,4336,0.1569,0.6448,0.2724,True
65,cc_0065_car_x_dog.png,car,dog,2,5,112,255,1837,4099,0.13,0.3736,0.6191,True
66,cc_0066_car_x_dog.png,car,dog,2,5,105,264,1713,4266,0.1835,0.4639,0.3898,True
67,cc_0067_car_x_dog.png,car,dog,2,5,142,262,2177,4260,0.2751,0.5381,0.2336,True
68,cc_0068_car_x_dog.png,car,dog,2,5,114,292,1839,4689,0.1643,0.6335,0.1938,True
69,cc_0069_car_x_dog.png,car,dog,2,5,116,277,1862,4408,0.1882,0.4937,0.4059,True
70,cc_0070_car_x_dog.png,car,dog,2,5,109,299,1760,4761,0.2047,0.5539,0.1087,True
71,cc_0071_car_x_dog.png,car,dog,2,5,143,256,2203,4120,0.2359,0.4952,0.1473,True
72,cc_0072_car_x_dog.png,car,dog,2,5,144,269,2206,4309,0.1464,0.5249,0.2541,True
73,cc_0073_car_x_dog.png,car,dog,2,5,123,281,1988,4474,0.2723,0.545,0.3279,True
74,cc_0074_car_x_dog.png,car,dog,2,5,118,250,1925,4005,0.1189,0.4678,0.4675,True
75,cc_0075_dog_x_car.png,dog,car,5,2,284,136,4496,2105,0.2082,0.5531,0.2056,True
76,cc_0076_dog_x_car.png,dog,car,5,2,289,116,4578,1862,0.3135,0.4275,0.1981,True
77,cc_0077_dog_x_car.png,dog,car,5,2,276,120,4396,1938,0.2651,0.722,0.1676,True
78,cc_0078_dog_x_car.png,dog,car,5,2,281,140,4474,2158,0.2633,0.5588,0.2989,True
79,cc_0079_dog_x_car.png,dog,car,5,2,280,100,4455,1625,0.2103,0.5799,0.0098,True
80,cc_0080_dog_x_car.png,dog,car,5,2,262,128,4260,2046,0.2228,0.5705,0.0532,True
81,cc_0081_dog_x_car.png,dog,car,5,2,287,141,4538,2166,0.3014,0.6551,0.2037,True
82,cc_0082_dog_x_car.png,dog,car,5,2,258,130,4129,2065,0.2981,0.5432,0.0941,True
83,cc_0083_dog_x_car.png,dog,car,5,2,286,134,4534,2091,0.2298,0.5522,0.3592,True
84,cc_0084_dog_x_car.png,dog,car,5,2,259,129,4147,2060,0.2496,0.6943,0.1483,True
85,cc_0085_dog_x_car.png,dog,car,5,2,297,105,4726,1713,0.3018,0.4338,0.3541,True
86,cc_0086_dog_x_car.png,dog,car,5,2,270,106,4324,1726,0.2744,0.5338,0.116,True
87,cc_0087_dog_x_car.png,dog,car,5,2,295,149,4705,2394,0.1381,0.3702,0.1667,True
88,cc_0088_dog_x_car.png,dog,car,5,2,267,102,4299,1707,0.1972,0.3889,0.086,True
89,cc_0089_dog_x_car.png,dog,car,5,2,264,113,4266,1838,0.2619,0.5971,0.1651,True
90,cc_0090_dog_x_car.png,dog,car,5,2,251,101,4037,1703,0.3581,0.5837,0.1715,True
91,cc_0091_dog_x_car.png,dog,car,5,2,268,124,4301,2007,0.2948,0.5027,0.2811,True
92,cc_0092_dog_x_car.png,dog,car,5,2,260,139,4214,2150,0.2828,0.6727,0.1432,True
93,cc_0093_dog_x_car.png,dog,car,5,2,292,125,4689,2024,0.3213,0.6757,0.1458,True
