model,n_total,n_shape,n_texture,n_other,shape_bias_pct,coverage_pct
resnet50,284,90,66,128,57.69230769230769,54.929577464788736
resnet50|airplane(shape)/cat(texture),24,2,1,21,66.66666666666667,12.5
resnet50|bird(shape)/cat(texture),25,20,3,2,86.95652173913044,92.0
resnet50|bird(shape)/truck(texture),23,5,4,14,55.55555555555556,39.130434782608695
resnet50|car(shape)/dog(texture),24,7,0,17,100.0,29.166666666666668
resnet50|cat(shape)/airplane(texture),23,1,2,20,33.333333333333336,13.043478260869565
resnet50|cat(shape)/bird(texture),24,9,15,0,37.5,100.0
resnet50|deer(shape)/monkey(texture),24,15,3,6,83.33333333333333,75.0
resnet50|dog(shape)/car(texture),24,5,4,15,55.55555555555556,37.5
resnet50|horse(shape)/ship(texture),23,4,14,5,22.22222222222222,78.26086956521739
resnet50|monkey(shape)/deer(texture),25,11,3,11,78.57142857142857,56.0
resnet50|ship(shape)/horse(texture),25,10,1,14,90.9090909090909,44.0
resnet50|truck(shape)/bird(texture),20,1,16,3,5.882352941176471,85.0
vit_b16,284,150,39,95,79.36507936507937,66.54929577464789
vit_b16|airplane(shape)/cat(texture),24,12,2,10,85.71428571428571,58.333333333333336
vit_b16|bird(shape)/cat(texture),25,22,1,2,95.65217391304348,92.0
vit_b16|bird(shape)/truck(texture),23,11,1,11,91.66666666666667,52.17391304347826
vit_b16|car(shape)/dog(texture),24,20,0,4,100.0,83.33333333333333
vit_b16|cat(shape)/airplane(texture),23,3,11,9,21.428571428571427,60.869565217391305
vit_b16|cat(shape)/bird(texture),24,15,6,3,71.42857142857143,87.5
vit_b16|deer(shape)/monkey(texture),24,19,3,2,86.36363636363636,91.66666666666667
vit_b16|dog(shape)/car(texture),24,8,5,11,61.53846153846154,54.166666666666664
vit_b16|horse(shape)/ship(texture),23,6,2,15,75.0,34.78260869565217
vit_b16|monkey(shape)/deer(texture),25,18,1,6,94.73684210526316,76.0
vit_b16|ship(shape)/horse(texture),25,9,2,14,81.81818181818181,44.0
vit_b16|truck(shape)/bird(texture),20,7,5,8,58.333333333333336,60.0
clip_head,284,154,19,111,89.01734104046243,60.91549295774648
clip_head|airplane(shape)/cat(texture),24,9,1,14,90.0,41.666666666666664
clip_head|bird(shape)/cat(texture),25,24,1,0,96.0,100.0
clip_head|bird(shape)/truck(texture),23,10,4,9,71.42857142857143,60.869565217391305
clip_head|car(shape)/dog(texture),24,17,0,7,100.0,70.83333333333333
clip_head|cat(shape)/airplane(texture),23,10,2,11,83.33333333333333,52.17391304347826
clip_head|cat(shape)/bird(texture),24,16,2,6,88.88888888888889,75.0
clip_head|deer(shape)/monkey(texture),24,16,4,4,80.0,83.33333333333333
clip_head|dog(shape)/car(texture),24,5,1,18,83.33333333333333,25.0
clip_head|horse(shape)/ship(texture),23,8,0,15,100.0,34.78260869565217
clip_head|monkey(shape)/deer(texture),25,13,0,12,100.0,52.0
clip_head|ship(shape)/horse(texture),25,10,3,12,76.92307692307692,52.0
clip_head|truck(shape)/bird(texture),20,16,1,3,94.11764705882354,85.0
clip_zeroshot,284,145,20,119,87.87878787878788,58.098591549295776
clip_zeroshot|airplane(shape)/cat(texture),24,7,0,17,100.0,29.166666666666668
clip_zeroshot|bird(shape)/cat(texture),25,23,0,2,100.0,92.0
clip_zeroshot|bird(shape)/truck(texture),23,11,2,10,84.61538461538461,56.52173913043478
clip_zeroshot|car(shape)/dog(texture),24,19,0,5,100.0,79.16666666666667
clip_zeroshot|cat(shape)/airplane(texture),23,2,0,21,100.0,8.695652173913043
clip_zeroshot|cat(shape)/bird(texture),24,11,5,8,68.75,66.66666666666667
clip_zeroshot|deer(shape)/monkey(texture),24,19,1,4,95.0,83.33333333333333
clip_zeroshot|dog(shape)/car(texture),24,8,3,13,72.72727272727273,45.833333333333336
clip_zeroshot|horse(shape)/ship(texture),23,8,3,12,72.72727272727273,47.82608695652174
clip_zeroshot|monkey(shape)/deer(texture),25,12,2,11,85.71428571428571,56.0
clip_zeroshot|ship(shape)/horse(texture),25,15,3,7,83.33333333333333,72.0
clip_zeroshot|truck(shape)/bird(texture),20,10,1,9,90.9090909090909,55.0
