model,condition,top1,macro_f1,mean_max_conf,delta_top1,consistency
resnet50,clean,0.976,0.9760416763994193,0.8736162185668945,0.0,1.0
vit_b16,clean,0.978,0.9779759726272749,0.9617811441421509,0.0,1.0
clip_head,clean,0.976,0.9758962702290385,0.30356231331825256,0.0,1.0
clip_zeroshot,clean,0.964,0.9633527400165954,0.944275975227356,0.0,1.0
resnet50,grayscale,0.958,0.9582985080572826,0.8847163319587708,-0.018000000000000016,0.97
vit_b16,grayscale,0.968,0.9679861289443104,0.9512273669242859,-0.010000000000000009,0.974
clip_head,grayscale,0.954,0.9542042448356163,0.2815161347389221,-0.02200000000000002,0.96
clip_zeroshot,grayscale,0.938,0.9376780255391776,0.922264039516449,-0.026000000000000023,0.96
resnet50,hue_rotation,0.934,0.9343214580879998,0.8802751898765564,-0.041999999999999926,0.944
vit_b16,hue_rotation,0.952,0.9519883400905738,0.9333789944648743,-0.026000000000000023,0.96
clip_head,hue_rotation,0.944,0.9439958245139772,0.26861897110939026,-0.03200000000000003,0.946
clip_zeroshot,hue_rotation,0.926,0.9254980657683453,0.9180505275726318,-0.03799999999999992,0.944
resnet50,patch_shuffle,0.906,0.906954777255305,0.8618103861808777,-0.06999999999999995,0.922
vit_b16,patch_shuffle,0.918,0.9177251101422286,0.8759308457374573,-0.05999999999999994,0.93
clip_head,patch_shuffle,0.822,0.8234272852557017,0.20135198533535004,-0.15400000000000003,0.83
clip_zeroshot,patch_shuffle,0.806,0.8042855812082852,0.7876991629600525,-0.15799999999999992,0.822
