model,displacement,top1,consistency
resnet50,0,0.976,1.0
resnet50,8,0.9755,0.9915
resnet50,16,0.975,0.9885
resnet50,32,0.9670000000000001,0.9844999999999999
vit_b16,0,0.978,1.0
vit_b16,8,0.9835,0.9924999999999999
vit_b16,16,0.9744999999999999,0.9950000000000001
vit_b16,32,0.9705,0.9884999999999999
clip_head,0,0.976,1.0
clip_head,8,0.9794999999999999,0.982
clip_head,16,0.9715,0.9784999999999999
clip_head,32,0.964,0.9775
clip_zeroshot,0,0.964,1.0
clip_zeroshot,8,0.96,0.982
clip_zeroshot,16,0.9589999999999999,0.9805
clip_zeroshot,32,0.9494999999999999,0.9764999999999999
