disc_acc,epoch,grl_alpha,loss_cls,loss_domain,loss_total,progress,step,wall_time_s
0.9270833492279053,1,0.007800619419126431,1.4863127797842026,0.21030216496437787,1.696614956855774,0.0031,20,4.4
0.9437500208616256,1,0.024218730716329684,0.8032336443662643,0.1898506209021434,0.9930842757225037,0.0064,40,6.1
0.9052083522081376,1,0.04062378850029012,0.5548902317881584,0.30222113281488416,0.8571113616228103,0.0097,60,7.8
0.6333333551883698,1,0.057006974001184915,0.6913700260221958,2.7504338294267656,3.441803830862045,0.013,80,9.4
0.6302083551883697,1,0.07335951549482186,0.5497547000646591,2.152831071615219,2.702585738897324,0.0163,100,11.1
0.6770833551883697,1,0.08967270701157595,0.47257130071520803,0.8497238546609879,1.3222951591014862,0.0195,120,12.8
0.661458358168602,1,0.10593792674621624,0.38926126435399055,0.6216700226068497,1.010931271314621,0.0228,140,14.5
0.7156250208616257,1,0.12214665508654443,0.38066307827830315,0.5539385348558425,0.9346016138792038,0.0261,160,16.2
0.7625000178813934,1,0.13829049218172096,0.3174660738557577,0.5028064712882042,0.8202725529670716,0.0294,180,17.9
0.7843750208616257,1,0.15436117497469218,0.29283790811896326,0.4646719440817833,0.7575098514556885,0.0327,200,19.6
0.7892157049740062,2,0.17154733995876656,0.19956512990243294,0.4602821556960835,0.6598472893238068,0.036,220,25.7
0.8020833551883697,2,0.18625080727059035,0.2257796421647072,0.4613805621862411,0.6871602043509484,0.0393,240,27.4
0.7125000208616257,2,0.2020540590201491,0.24893087074160575,0.5764168366789818,0.8253477036952972,0.0425,260,29.0
0.6510416835546493,2,0.21775279019715396,0.23761192560195923,0.6543545186519623,0.8919664457440376,0.0458,280,30.7
0.6197916865348816,2,0.23333965370728887,0.3164565680548549,0.665798282623291,0.9822548478841782,0.0491,300,32.4
0.7177083492279053,2,0.24880752653112453,0.23528257757425308,0.5690530568361283,0.8043356269598008,0.0524,320,34.1
0.6833333492279052,2,0.2641495212880721,0.3176495242863894,0.5876926884055138,0.9053422063589096,0.0557,340,35.8
0.7052083522081375,2,0.279358996841732,0.3135356482118368,0.5841410592198372,0.8976767063140869,0.059,360,37.5
0.7208333551883698,2,0.2944295679209793,0.23376583140343427,0.5528774216771126,0.7866432517766953,0.0622,380,39.2
0.6687500238418579,2,0.3093551137375728,0.2258099287748337,0.6297979652881622,0.8556078940629959,0.0655,400,40.9
