epoch,loss_align,loss_cls,loss_total,mmd2,progress,step,wall_time_s
1,0.35155563354492186,1.5113923311233521,1.8629479646682738,0.35155563354492186,0.0031,20,5.6
1,0.25908455848693845,0.8529719248414039,1.1120564848184586,0.25908455848693845,0.0064,40,7.4
1,0.2427268385887146,0.5574205160140991,0.800147357583046,0.2427268385887146,0.0097,60,9.1
1,0.23556095361709595,0.4926775820553303,0.7282385393977165,0.23556095361709595,0.013,80,10.9
1,0.21262866258621216,0.3907384343445301,0.6033670991659165,0.21262866258621216,0.0163,100,12.7
1,0.20913371443748474,0.3714159168303013,0.5805496230721474,0.20913371443748474,0.0195,120,14.4
1,0.20451414585113525,0.3230235680937767,0.527537713944912,0.20451414585113525,0.0228,140,16.2
1,0.21363812685012817,0.4068711206316948,0.6205092430114746,0.21363812685012817,0.0261,160,17.9
1,0.21713311672210694,0.2521729193627834,0.469306044280529,0.21713311672210694,0.0294,180,19.8
1,0.2009231209754944,0.32999067213386296,0.5309137918055058,0.2009231209754944,0.0327,200,21.6
2,0.19276822314542882,0.2571922869366758,0.44996050526114073,0.19276822314542882,0.036,220,28.3
2,0.19360077381134033,0.22238779701292516,0.41598857194185257,0.19360077381134033,0.0393,240,30.1
2,0.1989854693412781,0.2230172798037529,0.422002749145031,0.1989854693412781,0.0425,260,31.9
2,0.19582586288452147,0.2135029774159193,0.4093288391828537,0.19582586288452147,0.0458,280,33.6
2,0.18622353076934814,0.2092763852328062,0.3954999133944511,0.18622353076934814,0.0491,300,35.4
2,0.18315250873565675,0.22154536843299866,0.4046978704631329,0.18315250873565675,0.0524,320,37.2
2,0.20131256580352783,0.26879584733396766,0.4701084107160568,0.20131256580352783,0.0557,340,39.1
2,0.19934285879135133,0.27712287567555904,0.4764657363295555,0.19934285879135133,0.059,360,40.8
2,0.18427708148956298,0.19543100222945214,0.3797080859541893,0.18427708148956298,0.0622,380,42.6
2,0.1838214874267578,0.16170658208429814,0.34552807062864305,0.1838214874267578,0.0655,400,44.3
3,0.1792956760951451,0.11899387197835105,0.29828955233097076,0.1792956760951451,0.0688,420,47.9
3,0.1828615188598633,0.1651866829022765,0.3480482056736946,0.1828615188598633,0.0721,440,49.6
3,0.18092361688613892,0.17286019250750542,0.3537838064134121,0.18092361688613892,0.0754,460,51.4
3,0.17827935218811036,0.1171824655495584,0.2954618200659752,0.17827935218811036,0.0787,480,53.2
3,0.16769331693649292,0.08977171326987446,0.25746503174304963,0.16769331693649292,0.082,500,55.0
3,0.17670698165893556,0.14699546582996845,0.32370245158672334,0.17670698165893556,0.0852,520,56.8
3,0.1790153741836548,0.15876035280525685,0.3377757273614407,0.1790153741836548,0.0885,540,58.5
3,0.19079155921936036,0.1494444480165839,0.340236009657383,0.19079155921936036,0.0918,560,60.2
3,0.1997605085372925,0.17695917785167695,0.37671968936920164,0.1997605085372925,0.0951,580,61.9
3,0.1860395073890686,0.15561163946986198,0.34165114611387254,0.1860395073890686,0.0984,600,63.6
4,0.165035833011974,0.10101095654747703,0.26604679226875305,0.165035833011974,0.1017,620,67.0
4,0.1640559196472168,0.14211019398644567,0.306166110932827,0.1640559196472168,0.1049,640,68.8
