epoch,loss_align,loss_cls,loss_total,mmd2,progress,step,wall_time_s
1,0.06741717219352723,1.4249055340886116,1.4923227101564407,0.6741717219352722,0.0031,20,4.3
1,0.045179694294929504,0.7952080383896828,0.8403877303004265,0.45179694294929507,0.0064,40,5.9
1,0.039447233676910394,0.5098683401942253,0.5493155732750893,0.394472336769104,0.0097,60,7.6
1,0.03189886093139648,0.4709553487598896,0.5028542168438435,0.31898860931396483,0.013,80,9.2
1,0.02930920004844666,0.3964656613767147,0.42577486038208007,0.29309200048446654,0.0163,100,10.9
1,0.029356043338775634,0.38640475943684577,0.41576079949736594,0.29356043338775634,0.0195,120,12.5
1,0.03156357169151307,0.35473658666014674,0.3863001562654972,0.3156357169151306,0.0228,140,14.2
1,0.0294492769241333,0.34553303234279154,0.374982313066721,0.294492769241333,0.0261,160,15.8
1,0.02989205837249756,0.24799026362597942,0.27788232676684854,0.2989205837249756,0.0294,180,17.6
1,0.028068162202835083,0.2864944141358137,0.3145625788718462,0.28068162202835084,0.0327,200,19.2
2,0.023896455764770508,0.20053009645027273,0.22442655572119882,0.23896455764770508,0.036,220,25.2
2,0.02575574517250061,0.19699456486850977,0.2227503139525652,0.2575574517250061,0.0393,240,26.9
2,0.026815606355667116,0.17305061314255,0.19986622110009195,0.26815606355667115,0.0425,260,28.5
2,0.02447238326072693,0.19863624777644873,0.2231086328625679,0.2447238326072693,0.0458,280,30.1
2,0.023159980773925785,0.2507260245271027,0.2738860065117478,0.2315998077392578,0.0491,300,31.8
2,0.025294225215911865,0.2222792509943247,0.2475734766572714,0.25294225215911864,0.0524,320,33.4
2,0.026003336906433104,0.33106407476589084,0.3570674130693078,0.26003336906433105,0.0557,340,35.2
2,0.027163640260696415,0.21730755548924208,0.24447119571268558,0.2716364026069641,0.059,360,36.8
2,0.024837661981582645,0.2050607896409929,0.22989844884723426,0.24837661981582643,0.0622,380,38.6
2,0.02634192109107971,0.17764577819034458,0.20398769974708558,0.2634192109107971,0.0655,400,40.2
3,0.02446365356445313,0.14147726486303977,0.16594091962490762,0.24463653564453125,0.0688,420,43.5
3,0.025619777441024782,0.1617119983304292,0.18733177725225686,0.2561977744102478,0.0721,440,45.2
3,0.024632114171981814,0.2301979860290885,0.25483010001480577,0.24632114171981812,0.0754,460,46.8
3,0.024235277175903323,0.11523741747951136,0.1394726957194507,0.2423527717590332,0.0787,480,48.5
3,0.0235762095451355,0.12150560673326254,0.14508181642740964,0.23576209545135499,0.082,500,50.2
3,0.024455089569091794,0.12778935469686986,0.15224444307386875,0.24455089569091798,0.0852,520,51.8
3,0.021242839097976682,0.15132484026253223,0.1725676778703928,0.21242839097976685,0.0885,540,53.5
3,0.024504834413528444,0.1973614856833592,0.22186632119119168,0.24504834413528442,0.0918,560,55.1
3,0.026724948883056644,0.1818701599724591,0.20859511010348797,0.26724948883056643,0.0951,580,56.8
3,0.023556189537048338,0.10434907237067818,0.12790526114404202,0.2355618953704834,0.0984,600,58.4
4,0.01949370774355802,0.0926720334047621,0.11216574196111072,0.19493707743558017,0.1017,620,61.9
4,0.02430936574935913,0.16267302157357336,0.186982386931777,0.2430936574935913,0.1049,640,63.5
4,0.022472156286239626,0.10737733384594321,0.12984949052333833,0.22472156286239625,0.1082,660,65.2
4,0.023034315109252933,0.14814717811532319,0.1711814934387803,0.23034315109252929,0.1115,680,66.9
4,0.022102338075637818,0.0829841062426567,0.10508644506335259,0.22102338075637817,0.1148,700,68.5
4,0.021872652769088747,0.11761217409512029,0.1394848268479109,0.21872652769088746,0.1181,720,70.2
4,0.02272639632225037,0.08492973480606451,0.10765613168478012,0.22726396322250367,0.1214,740,71.8
4,0.021305798292160033,0.08864214315544813,0.10994794145226479,0.21305798292160033,0.1247,760,73.5
4,0.022067768573760985,0.10769137488678097,0.12975914366543292,0.22067768573760987,0.1279,780,75.1
4,0.020616706609725956,0.11289508799090982,0.13351179491728543,0.20616706609725952,0.1312,800,76.8
5,0.026144301891326903,0.14266726677305996,0.1688115680590272,0.26144301891326904,0.1345,820,80.0
5,0.022176346778869635,0.07848480329848825,0.10066115092486143,0.2217634677886963,0.1378,840,81.6
5,0.01913376569747925,0.0689195847720839,0.08805335033684969,0.1913376569747925,0.1411,860,83.3
5,0.019573726654052735,0.056151227978989485,0.07572495453059673,0.19573726654052734,0.1444,880,84.9
5,0.024051574468612672,0.08424582360312342,0.10829739784821868,0.24051574468612671,0.1476,900,86.6
5,0.021561311483383177,0.08767923226114363,0.1092405435629189,0.21561311483383178,0.1509,920,88.2
5,0.02200992703437805,0.06373681771801784,0.08574674408882857,0.22009927034378052,0.1542,940,89.9
5,0.01978695631027222,0.06593972713453695,0.08572668451815843,0.19786956310272216,0.1575,960,91.5
5,0.02326348900794983,0.07114863696042448,0.09441212490200997,0.23263489007949828,0.1608,980,93.2
5,0.019731730222702023,0.09001517040887848,0.1097469006665051,0.19731730222702026,0.1641,1000,94.9
6,0.02688112258911133,0.04770527258515358,0.07458639517426491,0.2688112258911133,0.1674,1020,98.0
6,0.020101248025894167,0.06044070713687688,0.08054195595905185,0.20101248025894164,0.1706,1040,99.7
6,0.023941510915756227,0.08097245811950415,0.1049139691516757,0.23941510915756226,0.1739,1060,101.3
6,0.021839163303375243,0.12782376937102527,0.1496629319153726,0.21839163303375245,0.1772,1080,103.0
6,0.021947072744369512,0.07945951251313091,0.10140658542513847,0.21947072744369506,0.1805,1100,104.6
6,0.022043794393539432,0.09557149619795383,0.11761529184877872,0.2204379439353943,0.1838,1120,106.3
6,0.021947114467620852,0.10590083766728639,0.1278479527682066,0.21947114467620848,0.1871,1140,107.9
6,0.021784108877182008,0.06699409342254511,0.08877820456400513,0.21784108877182007,0.1903,1160,109.6
6,0.02353002667427063,0.11047318447381257,0.13400321062654258,0.2353002667427063,0.1936,1180,111.3
6,0.02013930678367615,0.08028042793739587,0.10041973544284702,0.20139306783676147,0.1969,1200,112.9
7,0.016632831096649172,0.2682543098926544,0.2848871387541294,0.1663283109664917,0.2002,1220,116.1
7,0.019007498025894166,0.08376125735230744,0.1027687568217516,0.19007498025894165,0.2035,1240,117.8
7,0.019720299243927,0.0671490162727423,0.08686931729316712,0.19720299243927003,0.2068,1260,119.4
7,0.020479621887207033,0.07582889416953549,0.09630851577967406,0.2047962188720703,0.2101,1280,121.0
7,0.02163951635360718,0.025241768220439553,0.04688128530979156,0.21639516353607177,0.2133,1300,122.7
7,0.018467012643814087,0.030407639977056533,0.0488746527582407,0.18467012643814087,0.2166,1320,124.4
7,0.020224332809448246,0.030719787429552524,0.05094412062317133,0.20224332809448242,0.2199,1340,126.1
7,0.01910232186317444,0.03402619845583103,0.053128520213067534,0.19102321863174437,0.2232,1360,127.7
7,0.01938251256942749,0.035363916138885544,0.05474642878398299,0.1938251256942749,0.2265,1380,129.4
7,0.021470222473144535,0.019218748583080016,0.04068897096440196,0.21470222473144532,0.2298,1400,131.0
7,0.01806215286254883,0.052516348083736376,0.07057850048877298,0.18062152862548828,0.233,1420,132.7
8,0.019436719543055484,0.050340919271356574,0.06977763870044758,0.19436719543055483,0.2363,1440,135.9
8,0.018854528665542603,0.04151732425671071,0.06037185313180089,0.18854528665542603,0.2396,1460,137.5
8,0.019973154067993167,0.03304175102384761,0.05301490547135472,0.19973154067993165,0.2429,1480,139.2
8,0.021237069368362428,0.10275545249460265,0.12399252154864371,0.21237069368362427,0.2462,1500,140.9
8,0.021345865726470948,0.0323974539176561,0.05374331958591938,0.21345865726470947,0.2495,1520,142.5
8,0.020099737644195557,0.019857908817357384,0.039957646187394856,0.20099737644195556,0.2528,1540,144.2
8,0.020892850160598754,0.06083096464863047,0.0817238150164485,0.20892850160598755,0.256,1560,145.8
8,0.019490913152694703,0.07019526938674972,0.08968618270009757,0.19490913152694703,0.2593,1580,147.5
8,0.01963616967201233,0.026611068515921942,0.04624723801389337,0.1963616967201233,0.2626,1600,149.1
8,0.021284495592117307,0.04423650533426553,0.06552100013941527,0.21284495592117308,0.2659,1620,150.8
9,0.021522848308086397,0.04546394196222536,0.06698679027613252,0.21522848308086395,0.2692,1640,154.0
9,0.0190695583820343,0.04952302511082962,0.06859258404001593,0.19069558382034302,0.2725,1660,155.7
9,0.01877915143966675,0.04490049229352735,0.06367964427918196,0.18779151439666747,0.2757,1680,157.3
9,0.019577157497406007,0.040632350672967735,0.06020950917154551,0.19577157497406006,0.279,1700,159.0
9,0.019097181558609008,0.07068536245496944,0.08978254422545433,0.19097181558609008,0.2823,1720,160.6
9,0.018710936307907107,0.06058949241414666,0.07930042808875441,0.18710936307907106,0.2856,1740,162.3
9,0.02001668453216553,0.07054493839386851,0.09056162443011999,0.20016684532165527,0.2889,1760,163.9
9,0.020539661645889284,0.03786272046272643,0.05840238202363253,0.20539661645889282,0.2922,1780,165.5
9,0.022394403219223025,0.07085264886263758,0.09324705200269819,0.22394403219223022,0.2955,1800,167.2
9,0.020789897441864012,0.033409533234953416,0.054199431324377656,0.20789897441864014,0.2987,1820,168.9
10,0.017172021132249096,0.08105837535829498,0.09823039675561282,0.171720211322491,0.302,1840,172.1
10,0.018399250507354734,0.053143146313959735,0.07154239621013403,0.18399250507354736,0.3053,1860,173.7
10,0.019665926694869995,0.09511148263700306,0.11477740928530693,0.19665926694869995,0.3086,1880,175.4
10,0.022602518796920774,0.0864001045934856,0.10900262165814638,0.22602518796920776,0.3119,1900,177.1
10,0.01984899163246155,0.05840315377572551,0.07825214546173812,0.1984899163246155,0.3152,1920,178.7
10,0.019809125661849978,0.0966433546738699,0.11645247908309102,0.19809125661849974,0.3184,1940,180.3
10,0.02205872893333435,0.09377145422622561,0.11583018340170384,0.2205872893333435,0.3217,1960,182.1
10,0.019247099161148074,0.036370823031757024,0.055617922358214854,0.1924709916114807,0.325,1980,183.7
10,0.018431233167648314,0.03986166421091184,0.05829289816319942,0.18431233167648314,0.3283,2000,185.3
10,0.02124558210372925,0.0735988621134311,0.0948444447480142,0.2124558210372925,0.3316,2020,187.0
11,0.02089707851409912,0.025990832597017288,0.046887910924851894,0.2089707851409912,0.3349,2040,190.2
11,0.01786504149436951,0.047176150935410985,0.0650411935057491,0.17865041494369507,0.3382,2060,191.8
11,0.020803021192550657,0.03871449897997081,0.05951752075925469,0.20803021192550658,0.3414,2080,193.5
11,0.018745232820510865,0.05468814515625127,0.07343337750062347,0.18745232820510865,0.3447,2100,195.1
11,0.018771185874938964,0.0728531236294657,0.09162430968135596,0.18771185874938964,0.348,2120,196.9
11,0.01789997458457947,0.06036274008802138,0.07826271438971162,0.17899974584579467,0.3513,2140,198.5
11,0.023479219675064084,0.04715552317211404,0.07063474301248789,0.23479219675064086,0.3546,2160,200.2
