epoch,loss_align,loss_cls,loss_total,mmd2,progress,step,wall_time_s
1,0.16419668775051832,1.4136694610118865,1.577866145968437,0.16419668775051832,0.0031,20,2.8
1,0.08729770537465811,0.7133544266223908,0.8006521373987198,0.08729770537465811,0.0064,40,3.8
1,0.04977467951830476,0.5755139991641045,0.6252886772155761,0.04977467951830476,0.0097,60,4.9
1,0.06268280739896,0.4822630502283573,0.5449458591639995,0.06268280739896,0.013,80,5.9
1,0.006978864909615368,0.3850487355142832,0.39202760010957716,0.006978864909615368,0.0163,100,6.9
1,0.041758234688313675,0.39435516744852067,0.43611340448260305,0.041758234688313675,0.0195,120,7.9
1,0.020486891618929803,0.33213904686272144,0.35262593887746335,0.020486891618929803,0.0228,140,9.0
1,0.048975703911855815,0.36545616053044794,0.4144318658858538,0.048975703911855815,0.0261,160,10.0
1,0.03480784018174745,0.3242533702403307,0.3590612107887864,0.03480784018174745,0.0294,180,11.1
1,0.07621129457838834,0.2942876562476158,0.3704989437013865,0.07621129457838834,0.0327,200,12.1
2,0.02129031260333517,0.2163329384125331,0.23762325372766047,0.02129031260333517,0.036,220,17.6
2,0.029062327183783054,0.19275841806083918,0.22182074077427388,0.029062327183783054,0.0393,240,18.6
2,0.03987049604766071,0.23737591058015822,0.27724640630185604,0.03987049604766071,0.0425,260,19.6
2,0.019395825121318922,0.2548411107622087,0.2742369342595339,0.019395825121318922,0.0458,280,20.6
2,0.01657464645104483,0.24466803325340153,0.2612426817417145,0.01657464645104483,0.0491,300,21.6
2,0.026286062222789043,0.2283348735421896,0.2546209331601858,0.026286062222789043,0.0524,320,22.7
2,0.05850334754213691,0.3028317649848759,0.36133511336520313,0.05850334754213691,0.0557,340,23.7
2,0.04898544128518552,0.2503592349588871,0.299344677478075,0.04898544128518552,0.059,360,24.7
2,0.03743719584308565,0.22154392655938865,0.25898112133145335,0.03743719584308565,0.0622,380,25.7
2,0.02621717834845185,0.2134048581123352,0.2396220363676548,0.02621717834845185,0.0655,400,26.8
3,0.015729849692434072,0.16104983032814094,0.17677967915577547,0.015729849692434072,0.0688,420,29.3
3,0.03609273331239819,0.17873423341661693,0.2148269683122635,0.03609273331239819,0.0721,440,30.4
3,0.05203566255513579,0.18797296229749919,0.24000862129032613,0.05203566255513579,0.0754,460,31.4
3,0.029882603551959618,0.14005741729633883,0.1699400220066309,0.029882603551959618,0.0787,480,32.4
3,-0.004105070125660859,0.15849319663830103,0.1543881269171834,-0.004105070125660859,0.082,500,33.4
3,0.005825980845838785,0.14356789235025644,0.1493938721716404,0.005825980845838785,0.0852,520,34.5
3,0.05942850720603019,0.12489092629402876,0.18431943729519845,0.05942850720603019,0.0885,540,35.5
3,0.004561074730008841,0.15886381035670638,0.16342488564550878,0.004561074730008841,0.0918,560,36.5
3,0.044483192288316785,0.22487025018781423,0.2693534418940544,0.044483192288316785,0.0951,580,37.5
3,-0.005640014400705695,0.10843423586338759,0.10279422365128994,-0.005640014400705695,0.0984,600,38.5
4,0.07289488308809021,0.13903487676923926,0.21192976425994525,0.07289488308809021,0.1017,620,41.1
4,0.06490319343283772,0.18478033263236285,0.24968352522701026,0.06490319343283772,0.1049,640,42.1
4,0.030974321020767092,0.14251347342506052,0.17348779439926149,0.030974321020767092,0.1082,660,43.1
4,0.03051647262182087,0.23065749146044254,0.26117396280169486,0.03051647262182087,0.1115,680,44.2
4,0.011941818706691264,0.13570858417078852,0.14765040185302497,0.011941818706691264,0.1148,700,45.2
4,-0.0068469088524580005,0.16834597215056418,0.1614990636706352,-0.0068469088524580005,0.1181,720,46.3
4,0.01817265439312905,0.22702370658516885,0.24519636183977128,0.01817265439312905,0.1214,740,47.3
4,-0.005673857918009162,0.09526537349447609,0.08959151487797498,-0.005673857918009162,0.1247,760,48.3
4,0.055816364893689754,0.12390168029814959,0.1797180456109345,0.055816364893689754,0.1279,780,49.3
4,0.02911022729240358,0.1468295319005847,0.17593976072967052,0.02911022729240358,0.1312,800,50.3
5,-0.025185764592606574,0.1625354657880962,0.13734970055520535,-0.025185764592606574,0.1345,820,52.9
5,0.01527986996807158,0.10546846454963088,0.1207483347505331,0.01527986996807158,0.1378,840,54.0
5,-0.0022688237950205803,0.11515250464435667,0.11288368003442883,-0.0022688237950205803,0.1411,860,55.0
5,0.0047716861590743065,0.17112807084340603,0.17589975725859403,0.0047716861590743065,0.1444,880,56.0
5,-0.04180252682417631,0.17360720969736576,0.13180468175560237,-0.04180252682417631,0.1476,900,57.0
5,0.02790238687302917,0.12261002894956619,0.15051241593901069,0.02790238687302917,0.1509,920,58.0
5,0.06599968931404873,0.15536688757129014,0.2213665783405304,0.06599968931404873,0.1542,940,59.1
5,0.000330860516987741,0.09056025603786111,0.09089111620560289,0.000330860516987741,0.1575,960,60.1
5,0.0015716617344878614,0.10705344583839178,0.10862510595470667,0.0015716617344878614,0.1608,980,61.1
5,0.0849852108862251,0.12162599386647344,0.20661120470613242,0.0849852108862251,0.1641,1000,62.1
6,0.08431182303465903,0.1232167560607195,0.20752857476472855,0.08431182303465903,0.1674,1020,64.7
6,0.038887471053749324,0.0847680122591555,0.12365548433735966,0.038887471053749324,0.1706,1040,65.7
