group,index_in_group,unknown_class,predicted_known,score,threshold
near,466,bus,truck,-12.874152183532715,-5.931540489196777
near,216,camel,dog,-12.127472877502441,-5.931540489196777
near,11,bus,truck,-12.114083290100098,-5.931540489196777
near,562,bus,truck,-11.861509323120117,-5.931540489196777
near,449,tractor,truck,-11.578533172607422,-5.931540489196777
near,57,bus,truck,-11.360424995422363,-5.931540489196777
near,410,bus,truck,-11.334172248840332,-5.931540489196777
near,191,bus,truck,-11.275542259216309,-5.931540489196777
near,788,pickup_truck,truck,-11.257250785827637,-5.931540489196777
near,222,bus,truck,-11.188379287719727,-5.931540489196777
near,74,bus,truck,-11.153014183044434,-5.931540489196777
near,320,bus,truck,-11.15208625793457,-5.931540489196777
far,680,keyboard,truck,-12.625566482543945,-5.931540489196777
far,422,mushroom,cat,-11.699323654174805,-5.931540489196777
far,617,bottle,cat,-11.310636520385742,-5.931540489196777
far,787,sunflower,bird,-11.300535202026367,-5.931540489196777
far,329,mushroom,frog,-11.13454818725586,-5.931540489196777
far,415,chair,airplane,-11.045332908630371,-5.931540489196777
far,322,bottle,cat,-10.79081916809082,-5.931540489196777
far,674,wardrobe,truck,-10.685715675354004,-5.931540489196777
far,704,mushroom,dog,-10.343463897705078,-5.931540489196777
far,314,bowl,ship,-10.308333396911621,-5.931540489196777
far,62,sunflower,bird,-10.224736213684082,-5.931540489196777
far,73,bottle,truck,-10.219093322753906,-5.931540489196777
